,precision,recall,f1-score,support
0,0.5097087378640777,0.8502024291497976,0.637329286798179,247.0
1,0.3413654618473896,0.45454545454545453,0.38990825688073394,187.0
2,0.3738738738738739,0.6,0.4606845513413506,415.0
3,0.5985663082437276,0.3599137931034483,0.44952893674293404,928.0
4,0.79050736497545,0.7263157894736842,0.7570532915360502,1330.0
accuracy,0.5934985516575475,0.5934985516575475,0.5934985516575475,0.5934985516575475
macro avg,0.5228043493609038,0.598195493254477,0.5389008646598497,3107.0
weighted avg,0.6281736037151833,0.5934985516575475,0.5940009648287407,3107.0
